Order_Id,Payment_Date,Payment_Method
1135,2024-08-23 09:58:06,Debit Card
2108,2026-02-20 09:47:05,Debit Card
2749,2026-06-11 22:04:25,UPI
5253,2024-11-30 01:28:55,UPI
1612,2026-05-05 09:27:52,Debit Card
1047,2024-08-29 17:37:11,Debit Card
5282,2025-10-27 13:26:06,UPI
5710,2025-05-15 01:14:54,UPI
2347,2026-05-18 01:59:19,Debit Card
5274,2024-11-05 03:11:42,Debit Card
5436,2024-12-14 04:37:08,Debit Card
5882,2026-03-17 06:34:39,UPI
3222,2025-10-24 13:25:29,Cash
4297,2025-09-21 20:31:59,Debit Card
4932,2025-08-29 08:12:47,Cash
1924,2025-07-02 22:27:47,Net Banking
3184,2025-02-18 09:02:45,Net Banking
2782,2025-11-02 20:49:09,UPI
1580,2025-06-29 23:04:58,Debit Card
2850,2025-12-28 12:46:41,Net Banking
1648,2026-04-08 13:15:58,Debit Card
4521,2025-05-13 02:40:37,Debit Card
5256,2024-10-21 06:07:07,Net Banking
3044,2025-04-16 06:50:40,Net Banking
4771,2025-06-18 11:35:41,Credit Card
5259,2025-09-19 16:10:03,Net Banking
3414,2025-06-10 10:57:02,Cash
3371,2025-12-04 20:03:35,Credit Card
4299,2025-08-22 08:13:55,Debit Card
3541,2025-09-19 18:17:59,Cash
4466,2024-12-19 16:24:58,Net Banking
1452,2025-10-01 09:18:54,UPI
2351,2024-10-09 14:09:57,Debit Card
5806,2024-12-13 03:02:57,Net Banking
2604,2025-04-25 14:38:00,Credit Card
5233,2025-01-11 08:05:36,Net Banking
1111,2024-11-27 13:58:47,Cash
2108,2025-04-26 16:21:04,Net Banking
1025,2024-10-20 19:18:02,Net Banking
3384,2025-05-22 11:01:05,UPI
2406,2025-12-21 10:18:28,Debit Card
3693,2024-08-14 20:36:00,Credit Card
2418,2026-05-09 12:14:13,Net Banking
3873,2025-05-18 23:25:31,Net Banking
4537,2025-05-20 16:16:42,Net Banking
1379,2026-05-29 01:24:48,Debit Card
2587,2026-07-20 03:37:37,Debit Card
2386,2024-09-22 07:00:01,Debit Card
5742,2026-06-25 22:16:01,Cash
2186,2025-06-29 03:48:40,Debit Card
3674,2026-02-21 19:40:47,Debit Card
1162,2024-10-25 09:32:26,UPI
4272,2025-11-13 01:06:32,UPI
1470,2025-07-23 18:06:51,Net Banking
1976,2024-10-14 01:01:23,Net Banking
1706,2024-08-13 18:20:10,Debit Card
2465,2025-12-03 07:28:00,Net Banking
4160,2026-05-27 09:46:06,Debit Card
1210,2024-09-28 00:36:34,Debit Card
3596,2025-02-01 22:02:27,UPI
