Product_Name,Product_Price,Category_Id
Product 1,22759.43,110
Product 2,15865.78,115
Product 3,21737.02,107
Product 4,31029.15,110
Product 5,16330.48,107
Product 6,26783.39,106
Product 7,1902.27,111
Product 8,25315.46,109
Product 9,40693.56,102
Product 10,28634.71,111
Product 11,25431.17,108
Product 12,42354.52,101
Product 13,9490.36,109
Product 14,42602.24,101
Product 15,147.25,102
Product 16,37467.64,102
Product 17,19053.34,113
Product 18,1521.79,110
Product 19,21905.75,111
Product 20,12118.24,112
Product 21,32936.82,105
Product 22,37858.7,112
Product 23,18336.22,111
Product 24,30687.94,110
Product 25,4275.44,111
Product 26,9129.11,103
Product 27,20989.43,102
Product 28,25262.99,112
Product 29,44814.14,102
Product 30,26660.45,115
Product 31,40461.93,113
Product 32,19397.74,108
Product 33,11973.38,115
Product 34,10071.25,103
Product 35,38121.79,110
Product 36,31457.29,113
Product 37,37802.9,113
Product 38,18075.61,108
Product 39,8415.74,107
Product 40,44134.17,106
Product 41,18820.84,113
Product 42,12237.95,110
Product 43,39227.61,115
Product 44,6885.8,113
Product 45,2211.35,112
Product 46,13296.04,113
Product 47,47933.19,112
Product 48,30125.93,110
Product 49,25599.37,104
Product 50,11648.14,108
Product 51,30324.95,110
Product 52,46871.84,101
Product 53,29351.33,106
Product 54,16290.88,107
Product 55,29786.07,104
Product 56,36220.11,113
Product 57,48457.46,113
Product 58,46747.21,103
Product 59,10744.69,114
Product 60,16617.91,111
Product 61,29179.89,108
Product 62,36048.38,106
Product 63,37093.43,112
Product 64,9107.89,110
Product 65,38852.59,111
Product 66,10054.75,103
Product 67,25779.75,113
Product 68,23732.25,102
Product 69,21572.53,102
Product 70,43576.98,112
Product 71,22405.32,108
Product 72,5804.65,108
Product 73,25689.08,105
Product 74,16812.4,108
Product 75,34893.09,114
Product 76,38454.79,105
Product 77,14291.8,109
Product 78,34939.26,113
Product 79,9286.96,103
Product 80,42966.37,110
Product 81,28814.58,104
Product 82,23063.55,111
Product 83,33803.98,107
Product 84,23309.17,105
Product 85,25085.67,106
Product 86,23204.34,115
Product 87,13398.71,111
Product 88,36959.8,112
Product 89,8800.06,101
Product 90,24593.64,104
Product 91,18230.22,109
Product 92,12061.02,101
Product 93,20833.91,105
Product 94,25463.73,114
Product 95,20489.41,102
Product 96,8858.96,104
Product 97,16652.9,102
Product 98,45011.16,104
Product 99,42479.04,105
Product 100,40184.03,106
